Number,Moisture,resin.g,NO3,PO4,Unit,Plot,Direction,Date,tin.g,tin.and.dry.g,Blank.value.NO3,Blank.value.PO4,Extraction vol (ml),NO3.mg.gresin,PO4.mg.gresin,,Moisture,Notes,,Blanks 65_128,Nutrient,
101,13.20,11.68,,,12,11,E,Summer_2022,,,,,,,,,,,,,,
102,11.30,13.64,,,12,11,W,Summer_2022,,,,,,,,,,,,,,
,,,,,12,11,S,Summer_2022,,,,,,,,,,,,,,
104,10.00,12.91,,,12,11,N,Summer_2022,,,,,,,,,,,,,,
105,9.20,9.18,,,13,5,W,Summer_2022,,,,,,,,,,,,,,
106,13.50,13.77,,,13,5,S,Summer_2022,,,,,,,,,,,,,,
107,,11.69,,,13,5,E,Summer_2022,,,,,,,,,,,,,,
108,9.00,11.69,,,13,5,NW,Summer_2022,,,,,,,,,,,,,,
109,,11.12,,,14,1,S,Summer_2022,,,,,,,,,,,,,,
110,13.80,10.31,,,14,1,N,Summer_2022,,,,,,,,,,,,,,
111,16.70,11.66,,,14,1,W,Summer_2022,,,,,,,,,,,,,,
112,8.60,13.55,,,14,1,E,Summer_2022,,,,,,,,,,,,,,
103,Resin placed,11.22,,,14,2,W,Summer_2022,,,,,,,,,,,,,,
114,,12.36,,,14,2,E,Summer_2022,,,,,,,,,,,,,,
115,36.70,11.21,,,14,2,N,Summer_2022,,,,,,,,,,,,,,
116,11.60,12.12,,,14,2,S,Summer_2022,,,,,,,,,,,,,,
117,33.30,12.39,,,14,5,S,Summer_2022,,,,,,,,,,,,,,
,,,,,14,5,N,Summer_2022,,,,,,,,,,,,,,
119,22.80,13.26,,,14,5,E,Summer_2022,,,,,,,,,,,,,,
120,20.7,12.7,,,14,5,W,Summer_2022,,,,,,,,,,,,,,
65,Resin placed,13.72,,,14,6,S,Summer_2022,,,,,,,,,,,,,,
74,Resin placed,11.14,,,14,6,N,Summer_2022,,,,,,,,,,,,,,
113,18.20,10.97,,,14,6,W,Summer_2022,,,,,,,,,,,,,,
127,32,12.85,,,14,6,E,Summer_2022,,,,,,,,,,,,,,
125,,12.25,,,14,7,S,Summer_2022,,,,,,,,,,,,,,
126,13.90,12.61,,,14,7,N,Summer_2022,,,,,,,,,,,,,,
118,Resin placed,12.62,,,14,7,E,Summer_2022,,,,,,,,,,,,,,
128,27.90,11.98,,,14,7,W,Summer_2022,,,,,,,,,,,,,,
